Fiche;Groupe;Connaissance 1;Connaissance 2;Analytique final;Point de rencontre C1;Premier projet C1;Test connaissance Fonction partie 1;Connaissance no4 Fonction;Evaluation mi-année;C1 Mozaique;C1 Spectacle de variété;C2 Triangles;Trigo;Eval C2 Statistique;C1 Final bulletin;C2 Final École;C2 Final Modérée;Examen MELS;Modération;C2 Final Bulletin;Note finale
6059042;43;91;96;96;NE;94;100;100;79;100;96;76;100;92;99;89;95;96;6;96;97
6031074;42;91;96;96;NE;100;82;98;48;100;100;68;84;84;100;79;94;98;15;98;99
6083117;43;97;72;70;NE;89;46;40;37;60;76;40;80;54;79;57;67;64;10;66;70
6051742;41;91;94;92;96;96;43;92;77;92;88;49;41;38;92;85;90;80;5;85;87
6083125;42;86;90;79;NE;60;64;63;60;80;96;32;100;76;87;70;87;98;17;98;95
6093504;43;77;86;70;NE;94;72;NE;80;80;80;100;100;66;84;84;91;88;7;90;88
6059257;43;77;64;74;NE;12;56;60;61;36;80;62;50;38;70;57;67;38;10;53;58
6025175;44;83;49;50;96;100;41;32;75;72;0;42;46;42;79;86;92;89;6;91;87
6030316;42;91;96;94;NE;100;68;80;80;80;88;72;94;84;91;85;99;90;14;95;94
6021760;41;94;96;96;80;84;37;64;75;76;68;42;42;47;75;86;91;87;5;89;85
6031579;44;83;44;41;92;100;47;34;53;72;88;37;38;33;84;74;84;84;10;84;84
6030241;42;83;94;94;NE;86;94;73;75;76;68;74;74;60;79;76;92;76;16;84;83
6030605;41;77;80;88;76;92;42;80;51;60;68;40;44;0;69;62;66;ABS;4;ABS;21
6030522;43;91;82;88;NE;97;76;73;74;88;100;86;84;84;99;83;90;76;7;83;88
6035307;43;74;82;64;NE;37;66;50;55;68;76;12;28;76;66;48;59;70;11;70;69
6030001;41;94;74;82;68;52;34;60;75;48;92;41;48;38;68;81;86;93;5;93;86
6017537;44;94;43;47;92;88;42;37;75;92;100;30;32;41;95;75;85;69;10;77;82
6011571;42;100;100;100;NE;100;100;93;94;100;100;92;92;64;100;83;97;100;14;100;100
6144315;41;NE;NE;NE;0;0;0;0;0;20;8;10;10;14;14;23;26;20;3;23;20
6018444;41;94;66;98;72;100;46;86;66;84;80;48;48;46;83;91;96;88;5;92;89
6034920;44;74;45;50;100;96;42;44;94;92;92;50;48;50;94;95;98;93;3;96;95
6069553;44;71;36;40;NE;NE;40;34;65;60;80;34;42;40;73;75;85;92;10;92;86
6034110;44;86;46;47;100;100;48;44;81;100;100;35;50;46;100;88;94;93;6;94;96
6031298;43;60;72;66;NE;NE;50;80;56;60;76;34;70;32;72;53;64;65;11;65;67
6023725;42;100;98;94;NE;100;96;98;94;100;100;100;92;84;100;92;100;98;8;98;99
6030852;41;83;98;100;92;80;40;94;83;76;88;46;50;38;83;90;95;94;5;95;91
6035265;43;0;NE;18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;#N/A;0;0;ABS;0;ABS;INC
6030720;43;29;40;60;NE;NE;60;100;50;36;48;28;50;60;60;52;63;62;11;63;62
6031454;44;86;50;50;96;96;46;44;82;88;96;41;47;42;93;89;94;99;5;99;97
6134654;44;63;24;19;NE;NE;NE;12;NE;60;0;0;5;12;60;16;44;ABS;28;ABS;18
6037915;41;94;74;96;80;92;44;64;54;88;84;36;46;39;86;81;86;73;5;80;82
6036750;43;94;96;96;NE;100;78;88;92;60;88;86;90;86;91;90;96;94;6;95;94
6118707;42;60;50;82;NE;49;52;NE;50;0;20;46;36;0;27;43;67;51;24;59;49
6022016;41;97;96;94;96;92;46;92;77;76;92;33;37;47;87;84;89;96;5;96;93
6033773;41;89;86;100;72;100;41;96;77;80;80;43;50;44;82;92;97;96;5;97;93
6031629;44;83;43;39;96;80;37;41;67;84;92;31;45;36;88;76;85;85;9;85;86
6147854;44;66;30;46;NE;96;33;12;51;60;60;36;22;34;69;60;74;61;14;68;68
6030696;44;89;47;50;100;100;41;47;80;96;96;40;50;50;97;92;96;88;4;92;94
6032767;43;94;86;88;NE;100;66;70;62;76;48;70;100;66;82;78;86;74;8;80;81
6080659;41;63;NE;NE;NE;NE;NE;84;90;40;0;35;26;8;20;55;59;ABS;4;ABS;6
6147631;41;94;84;96;100;100;43;96;86;92;92;37;40;42;94;85;90;86;5;88;90
6017750;41;100;96;96;88;100;49;88;94;88;88;43;50;50;90;96;100;92;4;96;94
6059125;43;0;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;28;29;43;ABS;14;ABS;8
6020374;41;94;88;92;96;100;44;98;85;76;88;49;34;44;86;86;91;86;5;89;88
6022099;44;91;45;45;92;84;37;27;82;80;92;41;47;44;87;85;91;85;6;88;88
6142046;43;83;90;76;NE;100;80;83;60;28;60;68;70;76;70;71;79;83;8;83;79
6029649;43;66;60;40;NE;NE;26;60;43;48;48;14;60;72;48;47;59;74;12;74;66
6031991;43;97;96;96;NE;NE;88;60;69;74;60;62;54;100;71;77;85;94;8;94;87
6017966;43;66;68;90;NE;100;64;45;83;88;96;76;82;72;97;81;88;80;7;84;88
6011654;44;86;39;24;92;96;33;25;73;60;0;28;30;24;69;59;74;66;15;70;70
6029946;41;80;76;100;100;100;45;80;98;88;100;46;50;50;96;96;100;100;4;100;99
6034821;43;83;70;88;NE;100;56;78;53;48;80;60;78;54;85;68;77;69;9;73;77
6156681;44;83;37;34;92;88;36;4;37;72;80;39;40;24;80;64;77;83;13;83;82
6035646;44;86;49;43;92;96;46;45;88;100;100;40;50;39;99;88;94;90;6;92;94
6034953;44;63;32;39;68;100;40;6;50;60;60;36;33;43;66;68;80;62;12;71;70
6030712;41;69;66;80;60;100;42;72;80;72;76;37;36;43;76;78;83;71;5;77;77
6033484;41;91;60;66;84;88;36;76;40;68;80;29;40;39;77;71;76;66;5;71;73
6147060;41;NE;36;56;0;0;40;0;28;40;28;31;34;8;34;48;52;ABS;4;ABS;10
6030159;41;94;78;94;72;100;41;86;86;92;88;45;50;43;89;91;96;91;5;94;93
6027163;41;66;66;64;80;60;32;44;34;60;68;30;38;38;66;66;70;78;4;78;74
6020440;43;69;60;78;NE;34;52;75;42;76;40;50;60;68;72;61;71;76;10;76;75
6126080;44;91;47;39;96;92;34;28;80;100;80;43;50;39;91;84;91;96;7;96;95
6030571;44;69;38;37;80;88;27;27;35;92;92;20;46;42;91;66;78;74;12;76;81
6036362;43;100;96;100;NE;91;96;NE;96;76;100;100;82;92;98;94;99;98;5;99;99
6017701;43;37;38;72;NE;43;38;20;50;28;20;48;16;32;32;44;56;51;12;54;47
6071260;42;97;92;92;NE;100;92;98;93;100;88;82;76;76;100;84;98;96;14;97;98
6030886;43;54;66;50;NE;100;66;60;52;60;96;64;76;76;97;65;74;78;9;78;84
6094221;42;94;86;96;NE;100;64;40;53;60;88;60;100;100;91;82;97;88;15;93;92
6017933;43;100;98;92;NE;100;84;98;99;88;96;80;100;88;97;92;98;93;6;96;96
6030407;41;100;76;92;80;100;42;96;81;68;84;46;37;44;80;85;90;86;5;88;86
6034987;41;97;100;100;96;100;45;88;97;92;88;46;50;50;92;97;100;100;3;100;98
6030324;41;100;100;94;100;100;44;100;93;100;100;48;50;50;100;97;100;100;3;100;100
6080014;43;94;94;88;NE;100;84;98;86;96;88;92;84;92;97;89;95;96;6;96;96
6093751;43;94;100;92;NE;100;92;80;86;76;88;68;96;82;91;85;92;92;7;92;92
6031256;42;60;60;50;NE;23;48;60;39;80;100;46;66;72;90;55;76;86;21;86;87
6160546;44;NE;NE;NE;NE;NE;NE;NE;48;88;100;35;50;41;94;84;91;95;7;95;95
6031660;44;100;50;50;100;96;46;32;87;92;98;45;50;50;96;94;98;94;4;96;96
6030076;42;100;96;94;NE;100;96;80;74;80;80;66;80;72;85;78;93;90;15;92;90
6131494;44;60;27;33;100;84;36;4;49;32;96;15;50;20;71;56;72;98;16;98;90
6037238;43;60;68;78;NE;100;88;95;76;68;80;88;96;66;85;81;88;92;7;92;90
6021901;42;0;0;32;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;28;29;56;ABS;27;ABS;33
6034912;41;91;90;84;100;100;42;88;85;88;100;50;31;40;96;80;85;86;5;86;89
6020739;44;42;30;37;NE;100;16;32;38;60;80;32;31;30;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
